clade	ham_pi	nogaps_ham_pi	max_ham_pi	max_nogaps_ham_pi	num_seqs_gt	avlen	gt_ham_medoid	gt_ng_ham_medoid
IA	0.038	0.038	0.058	0.058	66	410.0	EF406357.1|IA	EF406357.1|IA
IB	0.032	0.032	0.057	0.057	32	410.0	ON496633.1___ON524423.1___ON524432.1___ON524438|IB	ON496633.1___ON524423.1___ON524432.1___ON524438|IB
IC	0.066	0.015	0.253	0.024	9	410.0	JQ696954.1___JQ696955.1___JQ696956.1___JQ696958|IC	JQ696954.1___JQ696955.1___JQ696956.1___JQ696958|IC
IIA	0.014	0.014	0.028	0.028	6	410.0	LC515197.1|IIA	LC515197.1|IIA
IIB	NA	NA	NA	NA	1	410	AY644670.1|IIB	AY644670.1|IIB
IIIA	0.032	0.032	0.067	0.067	23	410.0	DQ991029.1|IIIA	DQ991029.1|IIIA
IIIB	0.025	0.006	0.053	0.008	5	410.0	AB279735.1|IIIB	AB258539.1|IIIB
